text,transcript,filename,tts_distance
forallintensivepurposes,forallintensivepurposes,generated_audio/tts2024-02-23--21-16-56/For all intensive purposes.wav,0.0
forallintentsandpurposes,forallintentsandpurposes,generated_audio/tts2024-02-23--21-16-56/For all intents and purposes.wav,0.0
nipitinthebutt,nextisintheback,generated_audio/tts2024-02-23--21-16-56/Nip it in the butt.wav,7.0
nipitinthebud,dickitintheback,generated_audio/tts2024-02-23--21-16-56/Nip it in the bud.wav,6.0
selfdepreciating,selfdeprecating,generated_audio/tts2024-02-23--21-16-56/Selfdepreciating.wav,1.0
selfdeprecating,selfdeprecating,generated_audio/tts2024-02-23--21-16-56/Selfdeprecating.wav,0.0
escapegoat,escape,generated_audio/tts2024-02-23--21-16-56/Escape goat.wav,4.0
scapegoat,skateboard,generated_audio/tts2024-02-23--21-16-56/Scapegoat.wav,5.0
mutepoint,mutepeentnew,generated_audio/tts2024-02-23--21-16-56/Mute point.wav,5.0
mootpoint,thankyou,generated_audio/tts2024-02-23--21-16-56/Moot point.wav,9.0
oldtimersdisease,oldtimersdisease,generated_audio/tts2024-02-23--21-16-56/Oldtimers disease.wav,0.0
alzheimersdisease,alzheimersdisease,generated_audio/tts2024-02-23--21-16-56/Alzheimers disease.wav,0.0
doggydogworld,thecutwhodiedhijabwereruled,generated_audio/tts2024-02-23--21-16-56/Doggydog world.wav,21.0
dogeatdogworld,buthetoldwereworked,generated_audio/tts2024-02-23--21-16-56/Dogeatdog world.wav,13.0
lacktoastandtolerant,lethostintolerant,generated_audio/tts2024-02-23--21-16-56/Lack toast and tolerant.wav,7.0
lactoseintolerant,lactusintolerant,generated_audio/tts2024-02-23--21-16-56/Lactose intolerant.wav,2.0
bowlinachinashop,lawinachinashop,generated_audio/tts2024-02-23--21-16-56/Bowl in a china shop.wav,3.0
bullinachinashop,doinachinashop,generated_audio/tts2024-02-23--21-16-56/Bull in a china shop.wav,4.0
deepseeded,takeseequine,generated_audio/tts2024-02-23--21-16-56/Deepseeded.wav,9.0
deepseated,itssitting,generated_audio/tts2024-02-23--21-16-56/Deepseated.wav,9.0
takenforgranite,takenforgranted,generated_audio/tts2024-02-23--21-16-56/Taken for granite.wav,2.0
takenforgranted,takingforgranted,generated_audio/tts2024-02-23--21-16-56/Taken for granted.wav,2.0
caseandpoint,caseinpoint,generated_audio/tts2024-02-23--21-16-56/Case and point.wav,2.0
caseinpoint,caseinpoint,generated_audio/tts2024-02-23--21-16-56/Case in point.wav,0.0
anescapegoat,andescapecode,generated_audio/tts2024-02-23--21-16-56/An escape goat.wav,4.0
ascapegoat,ascapegoat,generated_audio/tts2024-02-23--21-16-56/A scapegoat.wav,0.0
passmustard,petέχers,generated_audio/tts2024-02-23--21-16-56/Pass mustard.wav,9.0
passmuster,passmrsundtard,generated_audio/tts2024-02-23--21-16-56/Pass muster.wav,6.0
ontenderhooks,ontenderhooks,generated_audio/tts2024-02-23--21-16-56/On tender hooks.wav,0.0
ontenterhooks,ontenturhus,generated_audio/tts2024-02-23--21-16-56/On tenterhooks.wav,4.0
tongueandcheek,thanmomekaatracina,generated_audio/tts2024-02-23--21-16-56/Tongue and cheek.wav,14.0
tongueincheek,takeincheat,generated_audio/tts2024-02-23--21-16-56/Tongue in cheek.wav,6.0
cardshark,cardshort,generated_audio/tts2024-02-23--21-16-56/Card shark.wav,2.0
cardsharp,cardshot,generated_audio/tts2024-02-23--21-16-56/Card sharp.wav,3.0
dampsquid,downsquint,generated_audio/tts2024-02-23--21-16-56/Damp squid.wav,5.0
dampsquib,downasquare,generated_audio/tts2024-02-23--21-16-56/Damp squib.wav,7.0
curlupinthefeebleposition,curlupinthefebelposition,generated_audio/tts2024-02-23--21-16-56/Curl up in the feeble position.wav,3.0
curlupinthefetalposition,carupinthefetalposition,generated_audio/tts2024-02-23--21-16-56/Curl up in the fetal position.wav,2.0
ahardroadtohoe,ahardroadtohorror,generated_audio/tts2024-02-23--21-16-56/A hard road to hoe.wav,4.0
ahardrowtohoe,aheartwroteforheart,generated_audio/tts2024-02-23--21-16-56/A hard row to hoe.wav,11.0
expatriot,xpatriot,generated_audio/tts2024-02-23--21-16-56/Expatriot.wav,1.0
expatriate,expatriate,generated_audio/tts2024-02-23--21-16-56/Expatriate.wav,0.0
bitingmytime,fightingmytime,generated_audio/tts2024-02-23--21-16-56/Biting my time.wav,3.0
