id,text,transcript,filename,tts_distance
1,be careful with your prognostications said the stranger,be careful with your prognostication said the stranger,k_generated_audio/tts2024-03-09--09-37-51/be careful with your prognostications said the stranger.wav,1
2,then why should they be surprised when they see one,then why should they be surprised when they see one,k_generated_audio/tts2024-03-09--09-37-51/then why should they be surprised when they see one.wav,0
3,a young arab also loaded down with baggage entered and greeted the englishman,a young arable so loaded down with baggage entered and greeted the english,k_generated_audio/tts2024-03-09--09-37-51/a young arab also loaded down with baggage entered and greeted the englishman.wav,6
4,i thought that everything i owned would be destroyed,i thought that everything i owned would be destroyed,k_generated_audio/tts2024-03-09--09-37-51/i thought that everything i owned would be destroyed.wav,0
5,he moved about invisible but everyone could hear him,he moved about invisible but everyone could hear,k_generated_audio/tts2024-03-09--09-37-51/he moved about invisible but everyone could hear him.wav,4
6,but everything had changed,but everything had changed,k_generated_audio/tts2024-03-09--09-37-51/but everything had changed.wav,0
7,are you sure this is claire,i assure this is clear,k_generated_audio/tts2024-03-09--09-37-51/are you sure this is claire.wav,10
8,it had told him to dig where his tears fell,it had told him to do where his tears fell,k_generated_audio/tts2024-03-09--09-37-51/it had told him to dig where his tears fell.wav,2
9,the shop folks were taking down their shutters and people were opening their bedroom windows,the shop folks were taking down their shutters and people were opening their bedroom windows,k_generated_audio/tts2024-03-09--09-37-51/the shop folks were taking down their shutters and people were opening their bedroom windows.wav,0
10,the teacher thought that hed taught himself all he could,the teacher thought that had taught himself all he could cut,k_generated_audio/tts2024-03-09--09-37-51/the teacher thought that hed taught himself all he could.wav,5
11,the boy stepped closer to the girl and when she smiled he did the same,the boy stepped closer to the girl and when she smiled he did the sidd,k_generated_audio/tts2024-03-09--09-37-51/the boy stepped closer to the girl and when she smiled he did the same.wav,3
12,you havent seen anything yet,you havent seen anything yee,k_generated_audio/tts2024-03-09--09-37-51/you havent seen anything yet.wav,1
13,but i found it difficult to get to work because of the investigations,but i found it difficult to get to work because of the investigations,k_generated_audio/tts2024-03-09--09-37-51/but i found it difficult to get to work because of the investigations.wav,0
14,in those days very few of the people had any idea about astronomy,in those days very few of the people had any idea about astronomy,k_generated_audio/tts2024-03-09--09-37-51/in those days very few of the people had any idea about astronomy.wav,0
15,when im eating thats all i think about,when in eating thats all i think about,k_generated_audio/tts2024-03-09--09-37-51/when im eating thats all i think about.wav,1
16,got anything new on the hanging,but anything you want the hanging in,k_generated_audio/tts2024-03-09--09-37-51/got anything new on the hanging.wav,11
17,is that what you want me to tell vincent,is that what you want me to tell vincent,k_generated_audio/tts2024-03-09--09-37-51/is that what you want me to tell vincent.wav,0
18,one of us is going to jail,one of us is going to jail,k_generated_audio/tts2024-03-09--09-37-51/one of us is going to jail.wav,0
19,to nourish the falcon,to nurse the falcon,k_generated_audio/tts2024-03-09--09-37-51/to nourish the falcon.wav,3
20,this conventions gonna cost plenty,this conventions gonna cost plenty,k_generated_audio/tts2024-03-09--09-37-51/this conventions gonna cost plenty.wav,0
21,coming home a party of tourists passed us singing and playing music,coming home a party of tourists past as any and playing uses,k_generated_audio/tts2024-03-09--09-37-51/coming home a party of tourists passed us singing and playing music.wav,13
22,next install an extension that makes it possible to add custom python commands,next install an extension that makes it possible to a custom python command,k_generated_audio/tts2024-03-09--09-37-51/next install an extension that makes it possible to add custom python commands.wav,3
23,the boy had met the alchemist,the boy had met the alchemist,k_generated_audio/tts2024-03-09--09-37-51/the boy had met the alchemist.wav,0
24,it was starlight and i explained the signs of the zodiac to her,it was starlight and i explained the signs of the zodiac to horror,k_generated_audio/tts2024-03-09--09-37-51/it was starlight and i explained the signs of the zodiac to her.wav,4
25,so you wont blame her,so we want lame,k_generated_audio/tts2024-03-09--09-37-51/so you wont blame her.wav,9
26,but thats why you created the game in the first place the boy answered,but thats why you created the game in the first place the boy answer,k_generated_audio/tts2024-03-09--09-37-51/but thats why you created the game in the first place the boy answered.wav,2
27,dont say that again,dont say that again,k_generated_audio/tts2024-03-09--09-37-51/dont say that again.wav,0
28,he had seen the shooting star and was persuaded that a meteorite lay somewhere nearby,he had seen the shooting star and was persuaded that a meteorite lay somewhere near the room,k_generated_audio/tts2024-03-09--09-37-51/he had seen the shooting star and was persuaded that a meteorite lay somewhere nearby.wav,9
29,it turned out to be a bitter tea,it turned out to be a bitter tea too,k_generated_audio/tts2024-03-09--09-37-51/it turned out to be a bitter tea.wav,4
30,are you gonna throw a rock,i need a gun to throw a roar,k_generated_audio/tts2024-03-09--09-37-51/are you gonna throw a rock.wav,13
31,among these people were a couple of cyclists a gardener i employed sometimes and a girl carrying a baby,among these people were a couple of cyclists a gardener i employed sometimes in a girl carrying a bag,k_generated_audio/tts2024-03-09--09-37-51/among these people were a couple of cyclists a gardener i employed sometimes and a girl carrying a baby.wav,4
32,my tax dollars pay for those public school proms,my tax dollars pay for those public school prongs,k_generated_audio/tts2024-03-09--09-37-51/my tax dollars pay for those public school proms.wav,2
33,they looked for the fallen mass but found nothing,they looked for the fallen mass but found nothing,k_generated_audio/tts2024-03-09--09-37-51/they looked for the fallen mass but found nothing.wav,0
34,i was just in town earlier this year so it is kind of crazy to think about what took place right after,i was just in town earlier this year so its kind of crazy to think about what to place right after,k_generated_audio/tts2024-03-09--09-37-51/i was just in town earlier this year so it is kind of crazy to think about what took place right after.wav,4
35,i want to see that map covered before we get through,i want to see that map covered before we get through,k_generated_audio/tts2024-03-09--09-37-51/i want to see that map covered before we get through.wav,0
36,it made me very depressed,it made me very depressed,k_generated_audio/tts2024-03-09--09-37-51/it made me very depressed.wav,0
37,its important to keep an open mind and she has urged me to do the same,its important to keep in a cold man and she has urged me to do the same,k_generated_audio/tts2024-03-09--09-37-51/its important to keep an open mind and she has urged me to do the same.wav,9
38,mines in the door,lines in the door,k_generated_audio/tts2024-03-09--09-37-51/mines in the door.wav,1
