id,text,transcript,filename,tts_distance
1,theyre not concerned with that right now,theyre not concerned with that right now,audio_generated/tts2024-03-13--08-38-57/theyre not concerned with that right now.wav,0
2,what do you think of that,what do you think of that,audio_generated/tts2024-03-13--08-38-57/what do you think of that.wav,0
3,i would have won the junior olympics if not for those medaling kids,i would have won the junior olipex if not for those meddling kiddies,audio_generated/tts2024-03-13--08-38-57/i would have won the junior olympics if not for those medaling kids.wav,9
4,the turf and gravel around it seemed charred as if by a sudden explosion,the turf and gravel around its scene chart as if by a sudden explosion,audio_generated/tts2024-03-13--08-38-57/the turf and gravel around it seemed charred as if by a sudden explosion.wav,7
5,how long is it,how long is this,audio_generated/tts2024-03-13--08-38-57/how long is it.wav,3
6,but my heart is agitated the boy said,but my heart is agitated the boys say,audio_generated/tts2024-03-13--08-38-57/but my heart is agitated the boy said.wav,3
7,i need you to be spontaneous he asked me out to din din,i need you to be spontaneous he asked me out to dinghy,audio_generated/tts2024-03-13--08-38-57/i need you to be spontaneous he asked me out to din din.wav,4
8,it was dropping off in flakes and raining down on the sand,it was dropping off in flakes and reading down on the sand,audio_generated/tts2024-03-13--08-38-57/it was dropping off in flakes and raining down on the sand.wav,3
9,where you got him,where got here to here,audio_generated/tts2024-03-13--08-38-57/where you got him.wav,11
10,we dont know when the war will end so we cant continue our journey he said,we dont know when the war will and so we can continue our journey he say,audio_generated/tts2024-03-13--08-38-57/we dont know when the war will end so we cant continue our journey he said.wav,4
11,his new friend pushed the owner aside and pulled the boy outside with him,his new friend pushed the owner aside and pulled the boy outside with him,audio_generated/tts2024-03-13--08-38-57/his new friend pushed the owner aside and pulled the boy outside with him.wav,0
12,my name is melchizedek said the old man,my name is mel tysaddick said the old man,audio_generated/tts2024-03-13--08-38-57/my name is melchizedek said the old man.wav,8
13,then you taught me something of the universal language and the soul of the world,then you taught me something of the universal language and the soul of the world,audio_generated/tts2024-03-13--08-38-57/then you taught me something of the universal language and the soul of the world.wav,0
14,then suppose you give me the money,then suppose you give me the money,audio_generated/tts2024-03-13--08-38-57/then suppose you give me the money.wav,0
