id,pair_id,text,transcript,filename,tts_distance
1,1,for all intensive purposes,for all intensive purposes,generated_audio/tts2024-02-25--18-52-16/for all intensive purposes.wav,0
2,1,for all intents and purposes,for all intents and purposes,generated_audio/tts2024-02-25--18-52-16/for all intents and purposes.wav,0
3,2,nip it in the butt,make it in the back,generated_audio/tts2024-02-25--18-52-16/nip it in the butt.wav,7
4,2,nip it in the bud,record in the senate,generated_audio/tts2024-02-25--18-52-16/nip it in the bud.wav,12
5,3,selfdepreciating,selfdeprecating,generated_audio/tts2024-02-25--18-52-16/selfdepreciating.wav,1
6,3,selfdeprecating,selfdeprecating,generated_audio/tts2024-02-25--18-52-16/selfdeprecating.wav,0
7,4,escape goat,escape cope,generated_audio/tts2024-02-25--18-52-16/escape goat.wav,3
8,4,scapegoat,see the book through,generated_audio/tts2024-02-25--18-52-16/scapegoat.wav,16
9,5,mute point,you continue bleeding,generated_audio/tts2024-02-25--18-52-16/mute point.wav,15
10,5,moot point,ate,generated_audio/tts2024-02-25--18-52-16/moot point.wav,9
11,6,oldtimers disease,old timers disease,generated_audio/tts2024-02-25--18-52-16/oldtimers disease.wav,1
12,6,alzheimers disease,alzheimers disease,generated_audio/tts2024-02-25--18-52-16/alzheimers disease.wav,0
13,7,doggydog world,die the world,generated_audio/tts2024-02-25--18-52-16/doggydog world.wav,7
14,7,dogeatdog world,doggy dogworld world,generated_audio/tts2024-02-25--18-52-16/dogeatdog world.wav,8
15,8,lack toast and tolerant,let toast and tolerant,generated_audio/tts2024-02-25--18-52-16/lack toast and tolerant.wav,3
16,8,lactose intolerant,like those intolerant,generated_audio/tts2024-02-25--18-52-16/lactose intolerant.wav,5
17,9,bowl in a china shop,in a chinese shop,generated_audio/tts2024-02-25--18-52-16/bowl in a china shop.wav,8
18,9,bull in a china shop,low in the china shop,generated_audio/tts2024-02-25--18-52-16/bull in a china shop.wav,7
19,10,deepseeded,do you see it funny seen t b b you g,generated_audio/tts2024-02-25--18-52-16/deepseeded.wav,30
20,10,deepseated,its seated,generated_audio/tts2024-02-25--18-52-16/deepseated.wav,4
21,11,taken for granite,taken for granted,generated_audio/tts2024-02-25--18-52-16/taken for granite.wav,2
22,11,taken for granted,taken for granted,generated_audio/tts2024-02-25--18-52-16/taken for granted.wav,0
23,12,case and point,case in point,generated_audio/tts2024-02-25--18-52-16/case and point.wav,2
24,12,case in point,case in point,generated_audio/tts2024-02-25--18-52-16/case in point.wav,0
25,13,an escape goat,and escape coat,generated_audio/tts2024-02-25--18-52-16/an escape goat.wav,2
26,13,a scapegoat,a scarecrowed,generated_audio/tts2024-02-25--18-52-16/a scapegoat.wav,6
27,14,pass mustard,pass mr hustard,generated_audio/tts2024-02-25--18-52-16/pass mustard.wav,3
28,14,pass muster,pass mr,generated_audio/tts2024-02-25--18-52-16/pass muster.wav,4
29,15,on tender hooks,on tender hooks,generated_audio/tts2024-02-25--18-52-16/on tender hooks.wav,0
30,15,on tenterhooks,on 10th or so,generated_audio/tts2024-02-25--18-52-16/on tenterhooks.wav,9
31,16,tongue and cheek,team king chief,generated_audio/tts2024-02-25--18-52-16/tongue and cheek.wav,10
32,16,tongue in cheek,take in cheat,generated_audio/tts2024-02-25--18-52-16/tongue in cheek.wav,6
33,17,card shark,carge,generated_audio/tts2024-02-25--18-52-16/card shark.wav,7
34,17,card sharp,card shot,generated_audio/tts2024-02-25--18-52-16/card sharp.wav,3
35,18,damp squid,down squeak,generated_audio/tts2024-02-25--18-52-16/damp squid.wav,6
36,18,damp squib,debs quick,generated_audio/tts2024-02-25--18-52-16/damp squib.wav,6
37,19,curl up in the feeble position,curve up in the feeble position,generated_audio/tts2024-02-25--18-52-16/curl up in the feeble position.wav,2
38,19,curl up in the fetal position,cut up in the fetal position,generated_audio/tts2024-02-25--18-52-16/curl up in the fetal position.wav,2
39,20,a hard road to hoe,a hard road to war,generated_audio/tts2024-02-25--18-52-16/a hard road to hoe.wav,3
