id,pair_id,text,transcript,filename,tts_distance
1,1,for all intensive purposes,for all intensive purposes,generated_audio/tts2024-02-26--10-32-22/for all intensive purposes.wav,0
2,1,for all intents and purposes,for all intense and purposes,generated_audio/tts2024-02-26--10-32-22/for all intents and purposes.wav,2
3,2,nip it in the butt,with it in the back,generated_audio/tts2024-02-26--10-32-22/nip it in the butt.wav,6
4,2,nip it in the bud,knack it in the bed,generated_audio/tts2024-02-26--10-32-22/nip it in the bud.wav,5
5,3,selfdepreciating,self depreciating,generated_audio/tts2024-02-26--10-32-22/selfdepreciating.wav,1
6,3,selfdeprecating,selfdeprecating,generated_audio/tts2024-02-26--10-32-22/selfdeprecating.wav,0
7,4,escape goat,escape,generated_audio/tts2024-02-26--10-32-22/escape goat.wav,5
8,4,scapegoat,escape,generated_audio/tts2024-02-26--10-32-22/scapegoat.wav,5
9,5,mute point,wute pe,generated_audio/tts2024-02-26--10-32-22/mute point.wav,5
10,5,moot point,vint,generated_audio/tts2024-02-26--10-32-22/moot point.wav,7
11,6,oldtimers disease,old timers disease,generated_audio/tts2024-02-26--10-32-22/oldtimers disease.wav,1
12,6,alzheimers disease,alzheimers disease,generated_audio/tts2024-02-26--10-32-22/alzheimers disease.wav,0
13,7,doggydog world,oh he was the one who would have disappearedall,generated_audio/tts2024-02-26--10-32-22/doggydog world.wav,41
14,7,dogeatdog world,thank you então world,generated_audio/tts2024-02-26--10-32-22/dogeatdog world.wav,12
15,8,lack toast and tolerant,let toast and tolerant,generated_audio/tts2024-02-26--10-32-22/lack toast and tolerant.wav,3
16,8,lactose intolerant,laptose intolerant,generated_audio/tts2024-02-26--10-32-22/lactose intolerant.wav,1
17,9,bowl in a china shop,low in a china shop,generated_audio/tts2024-02-26--10-32-22/bowl in a china shop.wav,2
18,9,bull in a china shop,blah let us shine some thank you,generated_audio/tts2024-02-26--10-32-22/bull in a china shop.wav,21
19,10,deepseeded,its serenade,generated_audio/tts2024-02-26--10-32-22/deepseeded.wav,8
20,10,deepseated,it seated,generated_audio/tts2024-02-26--10-32-22/deepseated.wav,4
21,11,taken for granite,taken for granted,generated_audio/tts2024-02-26--10-32-22/taken for granite.wav,2
22,11,taken for granted,taken for granted,generated_audio/tts2024-02-26--10-32-22/taken for granted.wav,0
23,12,case and point,case in point,generated_audio/tts2024-02-26--10-32-22/case and point.wav,2
24,12,case in point,case in point,generated_audio/tts2024-02-26--10-32-22/case in point.wav,0
25,13,an escape goat,and escape code,generated_audio/tts2024-02-26--10-32-22/an escape goat.wav,4
26,13,a scapegoat,escape book hook,generated_audio/tts2024-02-26--10-32-22/a scapegoat.wav,11
27,14,pass mustard,pass mr,generated_audio/tts2024-02-26--10-32-22/pass mustard.wav,5
28,14,pass muster,pass mr,generated_audio/tts2024-02-26--10-32-22/pass muster.wav,4
29,15,on tender hooks,on tender hooks,generated_audio/tts2024-02-26--10-32-22/on tender hooks.wav,0
30,15,on tenterhooks,on tenter hooks,generated_audio/tts2024-02-26--10-32-22/on tenterhooks.wav,1
31,16,tongue and cheek,take a peek,generated_audio/tts2024-02-26--10-32-22/tongue and cheek.wav,8
32,16,tongue in cheek,check in cheap,generated_audio/tts2024-02-26--10-32-22/tongue in cheek.wav,8
33,17,card shark,card shark,generated_audio/tts2024-02-26--10-32-22/card shark.wav,0
34,17,card sharp,card shot,generated_audio/tts2024-02-26--10-32-22/card sharp.wav,3
35,18,damp squid,depth,generated_audio/tts2024-02-26--10-32-22/damp squid.wav,8
36,18,damp squib,steps quick,generated_audio/tts2024-02-26--10-32-22/damp squib.wav,7
